# In-plane momentum (1/um), PSD (a.u.)
4.875751798371358632e+02,2.121687479304834596e+03
4.888318168985718444e+02,2.147624825088450507e+03
4.900884539600077119e+02,2.184414768666454620e+03
4.913450910214436362e+02,2.188150154636756724e+03
4.926017280828795037e+02,2.153537159012965731e+03
4.938583651443154849e+02,2.125486160574460428e+03
4.951150022057513524e+02,2.052605859030562442e+03
4.963716392671873336e+02,2.055389840999842818e+03
4.976282763286232580e+02,2.017451784825382219e+03
4.988849133900591255e+02,1.963597628757359871e+03
5.001415504514951067e+02,1.853656263643161765e+03
5.013981875129309742e+02,1.748364598697277188e+03
5.026548245743668986e+02,1.688885844242529856e+03
5.039114616358027661e+02,1.580226930839548004e+03
5.051680986972387473e+02,1.496778902838292879e+03
5.064247357586746148e+02,1.395671891527820435e+03
5.076813728201105960e+02,1.359240223842491332e+03
5.089380098815464635e+02,1.277091791639093799e+03
5.101946469429823878e+02,1.262830411727370574e+03
5.114512840044183690e+02,1.184435667221137464e+03
5.127079210658541797e+02,1.168792967651000026e+03
5.139645581272901609e+02,1.202524378710477322e+03
5.152211951887260284e+02,1.252605877593672631e+03
5.164778322501620096e+02,1.252228056340745070e+03
5.177344693115978771e+02,1.328192894254647854e+03
5.189911063730338583e+02,1.399124631387320505e+03
5.202477434344697258e+02,1.481931049629427889e+03
5.215043804959057070e+02,1.568238493727983268e+03
5.227610175573415745e+02,1.605394855871685877e+03
5.240176546187774420e+02,1.693042519895875785e+03
5.252742916802134232e+02,1.753991334060064673e+03
5.265309287416492907e+02,1.767061436319008180e+03
5.277875658030852719e+02,1.841284088546199200e+03
5.290442028645211394e+02,1.877791840569935403e+03
5.303008399259571206e+02,1.907662922152159581e+03
5.315574769873929881e+02,1.909873324289373386e+03
5.328141140488289693e+02,1.921359970159382556e+03
5.340707511102648368e+02,1.946886481995736176e+03
5.353273881717007043e+02,1.904380225465058402e+03
5.365840252331366855e+02,1.898991590381760034e+03
5.378406622945725530e+02,1.804456540832183009e+03
5.390972993560085342e+02,1.780122433095617907e+03
5.403539364174444017e+02,1.744858617341498530e+03
5.416105734788803829e+02,1.625240355640605912e+03
5.428672105403162504e+02,1.553767655702072943e+03
5.441238476017522316e+02,1.511510463585048228e+03
5.453804846631880991e+02,1.449778074258400920e+03
5.466371217246239667e+02,1.362491084931353498e+03
5.478937587860598342e+02,1.302570260507314970e+03
5.491503958474958154e+02,1.213573820609988161e+03
5.504070329089317966e+02,1.161862899820941493e+03
5.516636699703676641e+02,1.088787587915352788e+03
5.529203070318036453e+02,1.094058277173489842e+03
5.541769440932395128e+02,1.062041255050463860e+03
5.554335811546754940e+02,1.067110506282831238e+03
5.566902182161113615e+02,1.080092058968017454e+03
5.579468552775472290e+02,1.118600579578036786e+03
5.592034923389830965e+02,1.169651894134888607e+03
5.604601294004190777e+02,1.205993313614105091e+03
5.617167664618549452e+02,1.276406310403445332e+03
5.629734035232909264e+02,1.341757824812211993e+03
5.642300405847269076e+02,1.414390237366675137e+03
5.654866776461627751e+02,1.474543849978333128e+03
5.667433147075987563e+02,1.490633978974288084e+03
5.679999517690346238e+02,1.608225913788956859e+03
5.692565888304704913e+02,1.620603861806746181e+03
5.705132258919063588e+02,1.647003076160451883e+03
5.717698629533423400e+02,1.710499956471181804e+03
5.730265000147782075e+02,1.720276194695989716e+03
5.742831370762141887e+02,1.705797495100496235e+03
5.755397741376500562e+02,1.685671225600555772e+03
5.767964111990860374e+02,1.698045619447648505e+03
5.780530482605220186e+02,1.680183016790922466e+03
5.793096853219578861e+02,1.611096802953224369e+03
5.805663223833937536e+02,1.601651973255007761e+03
