# In-plane momentum (1/um), PSD (a.u.)
1.273281260925134717e+02,6.848892204691115921e+02
1.277442310797439120e+02,4.371172856068374699e+02
1.281603360669743381e+02,2.293045497380351776e+02
1.285764410542047926e+02,2.232691422371754584e+02
1.289925460414352187e+02,4.276961418907225720e+02
1.294086510286656448e+02,6.752616425643490174e+02
1.298247560158960994e+02,9.056010101216934345e+02
1.302408610031265255e+02,1.202234351325421358e+03
1.306569659903569516e+02,1.378806104181542878e+03
1.310730709775874061e+02,1.599301085969872929e+03
1.314891759648178322e+02,1.845547660970259130e+03
1.319052809520482867e+02,2.075726954511070744e+03
1.323213859392787128e+02,2.215301845094771579e+03
1.327374909265091389e+02,2.431556639152628577e+03
1.331535959137395650e+02,2.602142091301162054e+03
1.335697009009700196e+02,2.765683454473030906e+03
1.339858058882004457e+02,2.967636817035286640e+03
1.344019108754308718e+02,2.995983885475733132e+03
1.348180158626613263e+02,3.155978308437383475e+03
1.352341208498917524e+02,3.257910640277103539e+03
1.356502258371221785e+02,3.364225381289572852e+03
1.360663308243526330e+02,3.572903593324068879e+03
1.364824358115830591e+02,3.653217363535836284e+03
1.368985407988135137e+02,3.648720565164289837e+03
1.373146457860439398e+02,3.689400165735343762e+03
1.377307507732743659e+02,3.718864709969210708e+03
1.381468557605048204e+02,3.710370986873681886e+03
1.385629607477352465e+02,3.716208702974795870e+03
1.389790657349657010e+02,3.557268507600963403e+03
1.393951707221961271e+02,3.631607689973216111e+03
1.398112757094265532e+02,3.563826400460967761e+03
1.402273806966569794e+02,3.494117793162399266e+03
1.406434856838874339e+02,3.477452261143058877e+03
1.410595906711178600e+02,3.344697589068963225e+03
1.414756956583483145e+02,3.220577816152139349e+03
1.418918006455787122e+02,3.127144306758015773e+03
1.423079056328091667e+02,2.979178697342074429e+03
1.427240106200396212e+02,2.871471029974194607e+03
1.431401156072700473e+02,2.690756017054802214e+03
1.435562205945005019e+02,2.504596535668639717e+03
1.439723255817308996e+02,2.494890629510394774e+03
1.443884305689613541e+02,2.241125801146693448e+03
1.448045355561917802e+02,2.031403917943220904e+03
1.452206405434222347e+02,1.848209293796118345e+03
1.456367455306526608e+02,1.668774119251592310e+03
1.460528505178831153e+02,1.458152686934802432e+03
1.464689555051135130e+02,1.268929572953175011e+03
1.468850604923439676e+02,1.078005847241397078e+03
1.473011654795744221e+02,8.883259838269411830e+02
1.477172704668048482e+02,6.520637162891637217e+02
1.481333754540353027e+02,4.638899302483609972e+02
1.485494804412657004e+02,2.679725700937190709e+02
1.489655854284961549e+02,1.764893674884677637e+02
1.493816904157265810e+02,2.668649820014006195e+02
1.497977954029570355e+02,4.410101028394784066e+02
1.502139003901874617e+02,6.526960418383301885e+02
1.506300053774178878e+02,8.356252680890025886e+02
1.510461103646483423e+02,1.030405403159138814e+03
1.514622153518787684e+02,1.186395858242822669e+03
1.518783203391092229e+02,1.400084618885596910e+03
1.522944253263396490e+02,1.555714540715119256e+03
1.527105303135700751e+02,1.729588386938170743e+03
1.531266353008005012e+02,1.925633359709660908e+03
1.535427402880309558e+02,2.004836387844856063e+03
1.539588452752613819e+02,2.146297045053804595e+03
1.543749502624918364e+02,2.354102984177950930e+03
1.547910552497222341e+02,2.387555907358804234e+03
1.552071602369526886e+02,2.491450075525058764e+03
1.556232652241831431e+02,2.674370800196316850e+03
1.560393702114135692e+02,2.720235891746411198e+03
1.564554751986440237e+02,2.725690843050628700e+03
1.568715801858744499e+02,2.867074354487422625e+03
1.572876851731048760e+02,2.921494383040688263e+03
1.577037901603353021e+02,2.912205688614668361e+03
1.581198951475657566e+02,2.899341349515075763e+03
1.585360001347961827e+02,3.003687220104395692e+03
1.589521051220266372e+02,3.026569434628557701e+03
1.593682101092570349e+02,2.998204726568054866e+03
1.597843150964874894e+02,2.929161086162212996e+03
1.602004200837179440e+02,3.045028512892168692e+03
1.606165250709483701e+02,2.938242476742739655e+03
1.610326300581788246e+02,2.815805851974058442e+03
1.614487350454092223e+02,2.766065931942076986e+03
1.618648400326396768e+02,2.656384996055968713e+03
1.622809450198701029e+02,2.565328772830200705e+03
1.626970500071005574e+02,2.487195343978009987e+03
1.631131549943309835e+02,2.455474130623194014e+03
1.635292599815614096e+02,2.322951601246332757e+03
1.639453649687918357e+02,2.247876007223910619e+03
1.643614699560222903e+02,2.048601621443274780e+03
1.647775749432527448e+02,1.886869035615017310e+03
1.651936799304831709e+02,1.760480521006887557e+03
1.656097849177136254e+02,1.586837308227902895e+03
1.660258899049440231e+02,1.474648947948872774e+03
1.664419948921744776e+02,1.300217510998139915e+03
1.668580998794049037e+02,1.126264545203323223e+03
1.672742048666353583e+02,9.747900414322731422e+02
1.676903098538657844e+02,7.963337267092256297e+02
1.681064148410962105e+02,6.178826263032434554e+02
1.685225198283266366e+02,4.682010317112784605e+02
1.689386248155570911e+02,3.110410769793732584e+02
1.693547298027875456e+02,1.872782232291231708e+02
1.697708347900179717e+02,1.845192460460698385e+02
1.701869397772483978e+02,2.966014364291149263e+02
1.706030447644788239e+02,4.427462088143857386e+02
1.710191497517092785e+02,6.133742166863139573e+02
1.714352547389397046e+02,7.935548539046684482e+02
1.718513597261701591e+02,9.224261508573550827e+02
1.722674647134005568e+02,1.075623198133617962e+03
1.726835697006310113e+02,1.189551553223009250e+03
1.730996746878614658e+02,1.324560387014063053e+03
1.735157796750918919e+02,1.522150170744791012e+03
1.739318846623223465e+02,1.645500411189498664e+03
1.743479896495527441e+02,1.725162398455820039e+03
1.747640946367831987e+02,1.861820938344295882e+03
1.751801996240136248e+02,1.972862667331766716e+03
1.755963046112440793e+02,2.058613823507426787e+03
1.760124095984745054e+02,2.196054403992903190e+03
1.764285145857049599e+02,2.205494078237101348e+03
1.768446195729353576e+02,2.241852850315406158e+03
1.772607245601658121e+02,2.355825016488909569e+03
1.776768295473962667e+02,2.374022239193679980e+03
1.780929345346266928e+02,2.472048111493983924e+03
1.785090395218571473e+02,2.508155877355009579e+03
1.789251445090875450e+02,2.419895073981516816e+03
1.793412494963179995e+02,2.473938056239505386e+03
1.797573544835484256e+02,2.522083007934721991e+03
1.801734594707788801e+02,2.475214495974177225e+03
1.805895644580093062e+02,2.500859462097896539e+03
1.810056694452397323e+02,2.446531748052404510e+03
1.814217744324701584e+02,2.419333558192149667e+03
1.818378794197006130e+02,2.337310929152097287e+03
1.822539844069310675e+02,2.259252446766693538e+03
1.826700893941614936e+02,2.240810451206988091e+03
1.830861943813919197e+02,2.155184869710621115e+03
1.835022993686223458e+02,2.005933126999141905e+03
1.839184043558528003e+02,1.936324169000436086e+03
1.843345093430832264e+02,1.855939966994499855e+03
1.847506143303136810e+02,1.759530849181360736e+03
1.851667193175440786e+02,1.687025722750705199e+03
1.855828243047745332e+02,1.554485200371557312e+03
1.859989292920049593e+02,1.417687787592525410e+03
1.864150342792354138e+02,1.285781134154044821e+03
1.868311392664658683e+02,1.141043170344452392e+03
1.872472442536962660e+02,1.029964968396530594e+03
1.876633492409267205e+02,8.868262981614395812e+02
1.880794542281571466e+02,7.362513063647973013e+02
1.884955592153876012e+02,6.120272886114267976e+02
1.889116642026180273e+02,4.723408258801056832e+02
1.893277691898484818e+02,3.306430949551785829e+02
1.897438741770788795e+02,2.199423847191354184e+02
1.901599791643093340e+02,1.622389160578684084e+02
1.905760841515397601e+02,2.087467471093880533e+02
1.909921891387702146e+02,3.283138429072865847e+02
1.914082941260006692e+02,4.526415307667130037e+02
1.918243991132310668e+02,5.768936926509707064e+02
1.922405041004615214e+02,7.069054902325505054e+02
1.926566090876919475e+02,8.377948408334360693e+02
1.930727140749224020e+02,9.567143249779765029e+02
1.934888190621528281e+02,1.082727029746870130e+03
1.939049240493832542e+02,1.208084259497134781e+03
1.943210290366136803e+02,1.335880685193574436e+03
1.947371340238441348e+02,1.417902036309512368e+03
1.951532390110745609e+02,1.533264626994294076e+03
1.955693439983050155e+02,1.603694717963508310e+03
1.959854489855354416e+02,1.691587639872356021e+03
1.964015539727658677e+02,1.797446495850726706e+03
1.968176589599963222e+02,1.859836981081346948e+03
1.972337639472267483e+02,1.853512794200051530e+03
1.976498689344572028e+02,1.967529292765277205e+03
1.980659739216876005e+02,2.006504199532590064e+03
1.984820789089180550e+02,2.039490849923473206e+03
1.988981838961484812e+02,2.066237945731834316e+03
1.993142888833789357e+02,2.083974277756931315e+03
1.997303938706093618e+02,2.108674202527706711e+03
2.001464988578398163e+02,2.120846648309086504e+03
2.005626038450702424e+02,2.089316738468394306e+03
2.009787088323006685e+02,2.141849585719245169e+03
2.013948138195311230e+02,2.141418830123132466e+03
2.018109188067615491e+02,2.053167863717692398e+03
2.022270237939920037e+02,2.018078110585460081e+03
2.026431287812224014e+02,1.936232975555011080e+03
2.030592337684528559e+02,1.932050808331568078e+03
2.034753387556832820e+02,1.838478568052745686e+03
2.038914437429137365e+02,1.795395548255833091e+03
2.043075487301441910e+02,1.748183390831716224e+03
2.047236537173745887e+02,1.677336575797684191e+03
2.051397587046050432e+02,1.519532861414994386e+03
2.055558636918354694e+02,1.461866864981175922e+03
2.059719686790659239e+02,1.370782335316500621e+03
2.063880736662963500e+02,1.279865935447178344e+03
2.068041786535267761e+02,1.160996044768446154e+03
2.072202836407572022e+02,1.031147171520783104e+03
2.076363886279876567e+02,9.364619112895832131e+02
2.080524936152180828e+02,8.289086598840101487e+02
2.084685986024485373e+02,6.855204707006530498e+02
2.088847035896789919e+02,5.854167194455837944e+02
2.093008085769093896e+02,4.755122820427566239e+02
2.097169135641398441e+02,3.556375757883959636e+02
2.101330185513702702e+02,2.459310530211500918e+02
2.105491235386007247e+02,1.710276029545899235e+02
2.109652285258311508e+02,1.691872056947013050e+02
2.113813335130615769e+02,2.409258964629059960e+02
2.117974385002920030e+02,3.357320137690904858e+02
2.122135434875224576e+02,4.468888526324429336e+02
2.126296484747528837e+02,5.608133187983391963e+02
2.130457534619833382e+02,6.821533118582834732e+02
2.134618584492137643e+02,7.862095625410180446e+02
2.138779634364441904e+02,8.783715720452472624e+02
2.142940684236746449e+02,9.934700257309375502e+02
2.147101734109050710e+02,1.094057972194352260e+03
2.151262783981355255e+02,1.191259884916659757e+03
2.155423833853659232e+02,1.263456655301785986e+03
2.159584883725963778e+02,1.366023151390909788e+03
2.163745933598268039e+02,1.385871675416563448e+03
2.167906983470572584e+02,1.508550067047718358e+03
2.172068033342876845e+02,1.551833555312135559e+03
