Wavelength (um), Flux (#/m2/s/um)
0.6820000419802208,4.800195715242952e+21
0.6830000419594638,4.755315695849045e+21
0.684000041938438,4.730943660661471e+21
0.6850000419171418,4.740963704005815e+21
0.6860000418955734,4.6408292143813986e+21
0.6870000418737311,3.348743110237887e+21
0.6880000418516131,3.8813121336066525e+21
0.6890000418292178,3.9119267444979044e+21
0.6900000418065433,4.106217609710737e+21
0.6910000417835881,4.290271597011977e+21
0.6920000417603502,4.420496778170911e+21
0.6930000417368278,4.3989755527673865e+21
0.6940000417130193,4.354664879061041e+21
0.6950000416889228,4.448407308088781e+21
0.6960000416645366,4.4442965721377627e+21
0.6970000416398585,4.7029632115614333e+21
0.6980000416148869,4.6355690932994095e+21
0.6990000415896201,4.545793793583441e+21
0.7000000415640562,4.51882010731962e+21
0.7010000415381931,4.4674012516603375e+21
0.702000041512029,4.4790749813611183e+21
0.703000041485562,4.511289920177779e+21
0.7040000414587902,4.6350140271700434e+21
0.7050000414317119,4.6898648697305563e+21
0.7060000414043247,4.6716384568808587e+21
0.7070000413766271,4.659036158012359e+21
0.7080000413486168,4.650656474977038e+21
0.7090000413202919,4.6740002847611263e+21
0.7100000412916506,4.709186349624657e+21
0.7110000412626907,4.7086603880478655e+21
0.7120000412334102,4.6851748248592397e+21
0.7130000412038072,4.636838342351362e+21
0.7140000411738795,4.683238903537641e+21
0.715000041143625,4.530704757152764e+21
0.7160000411130419,4.583538413303759e+21
0.7170000410821278,3.996183427363577e+21
0.7180000410508808,3.7216333590946356e+21
0.7190000410192987,3.34162619311632e+21
0.7200000409873792,3.572156516394153e+21
0.7210000409551206,3.9422553114485263e+21
0.7220000409225205,4.5096371170153207e+21
0.7230000408895766,4.1653831489126636e+21
0.7240000408562868,3.84713039284116e+21
0.7250000408226489,3.7885736280584424e+21
0.7260000407886608,3.952050612649989e+21
0.72700004075432,3.971035353276344e+21
0.7280000407196245,3.8115797795941846e+21
0.729000040684572,3.8410364867947874e+21
0.7300000406491601,4.147280011666528e+21
